"Please be noted that the data below is part of the used large-scale projected transportation emissions data from 3,144 counties generated by the United States Environmental Protection Agency. The original data is too large to put in GitHub. Therefore, we put it at Cornell Box, which is accessible at [https://cornell.box.com/s/h8tcryjzb73v34ddqsoletd5jse153in]",,,,,,,,,,,,,,,,,,
geoid,year,sourcetype,fueltype,regclass,roadtype,emissions_98,emissions_2,emissions_3,emissions_31,emissions_33,emissions_100,emissions_106,emissions_107,emissions_110,emissions_116,emissions_117,vehicles,vmt
1001,2017,32,2,30,1,4,0.8,0,0,0,0,0,0,0,0,0,0,0
5011,2007,41,2,46,4,1,0,0,0,0,0,0,0,0,0,0,0.1,621
1041,2040,42,2,42,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0
4007,2024,41,2,46,3,42.1,0.1,0.2,0,0,0,0,0,0,0,0,2.4,25332.8
4012,2039,41,2,46,1,20.4,0,0.1,0,0,0,0,0,0,0,0,0,0
4023,2036,61,3,47,5,64.4,1.2,0,0,0,0,0,0,0,0,0,9.4,29309
2070,2013,52,1,42,2,3.7,0.1,0,0,0,0,0,0,0,0,0,3.8,4055.8
1049,2004,42,1,42,3,13,0.1,0,0,0,0,0,0,0,0,0,0.4,11589.9
4003,2042,52,9,46,2,0,0,0,0,0,0,0,0,0,0,0,196.9,404394
1125,2019,54,2,46,2,38.2,0.1,0.2,0,0,0,0,0,0,0,0,75.3,32569.5
2063,2043,61,2,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,2002,42,1,47,4,0.1,0,0,0,0,0,0,0,0,0,0,0,82
1097,2012,61,3,47,4,204.9,1.7,0.1,0,0,0,0,0,0,0,0,2.6,112777
4023,2039,54,9,41,2,0,0,0,0,0,0,0,0,0,0,0,17,4612.4
2050,2033,51,2,47,5,159,0.2,0.3,0,0.1,0,0,0,0,0,0,4.2,89588.5
1001,2018,52,1,46,1,42.4,2,0.1,0,0,0,0,0,0,0,0,0,0
1119,2055,42,3,48,4,9,0.2,0,0,0,0,0,0,0,0,0,0.2,5775.3
1133,2016,61,1,47,2,0,0,0,0,0,0,0,0,0,0,0,0,10.2
1049,2017,51,2,42,2,0,0,0,0,0,0,0,0,0,0,0,0.1,37.5
1021,2025,32,9,41,4,0,0,0,0,0,0,0,0,0,0,0,1.2,5676.2
1127,2036,41,9,47,5,0,0,0,0,0,0,0,0,0,0,0,0.4,8953.4
2195,2045,61,3,47,5,0.2,0,0,0,0,0,0,0,0,0,0,0,121.8
1021,2025,53,1,41,5,640.8,1.9,0.1,0,0,0,0,0,0,0,0,25.5,658431
2020,2011,54,2,46,3,1514.9,4.1,12.1,0,0.6,0.6,0.1,0,0.6,0,0,863.8,1247500
1063,2013,61,1,47,5,0.2,0,0,0,0,0,0,0,0,0,0,0,87.9
1037,2005,54,1,41,2,9.6,0.5,0.1,0,0,0,0,0,0,0,0,21.1,9829.3
1105,2020,54,1,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0.9
4012,2058,43,3,47,2,1.9,0,0,0,0,0,0,0,0,0,0,0.3,1514.3
1123,2040,32,1,30,5,1589.7,7.6,0.1,0,0,0,0.1,0.1,0,0,0,1057.3,4635070
1063,2055,61,2,46,3,1014.7,0.5,0.2,0,0,0,0,0,0,0,0,13.3,708170
5001,2019,53,3,47,4,2,0,0,0,0,0,0,0,0,0,0,0.2,1401.1
1115,2027,53,1,47,2,0,0,0,0,0,0,0,0,0,0,0,0,13
1031,2014,21,2,20,1,40.1,3.7,0.1,0,0,0,0,0,0,0,0,0,0
1121,2058,53,9,42,4,0,0,0,0,0,0,0,0,0,0,0,20.6,327280
1107,2011,43,1,41,3,0.1,0,0,0,0,0,0,0,0,0,0,0,90.9
1103,2017,43,1,42,5,62.1,0.3,0,0,0,0,0,0,0,0,0,7.8,40201.2
4007,2051,32,1,30,4,1126.2,4.9,0,0,0,0,0,0,0,0,0,1912.4,4416550
1101,2013,54,2,41,2,12.4,0,0.1,0,0,0,0,0,0,0,0,25.2,11221.1
1083,2011,41,9,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,2033,52,2,42,1,21.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0
1043,2041,32,1,41,2,152.7,0.4,0,0,0,0,0,0,0,0,0,384.8,311266
1005,2060,62,9,46,5,0,0,0,0,0,0,0,0,0,0,0,0.4,3106.6
1095,2040,41,2,47,4,64,0.1,0.1,0,0,0,0,0,0,0,0,8.3,43373.1
4013,2051,61,9,46,4,0,0,0,0,0,0,0,0,0,0,0,217.5,1451270
5009,2000,43,1,42,5,0.8,0,0,0,0,0,0,0,0,0,0,0.1,522.4
1123,2012,53,1,41,4,104.2,1.5,0.2,0,0,0,0,0,0,0,0,27.3,124869
5001,2031,53,9,41,3,0,0,0,0,0,0,0,0,0,0,0,0.6,11607.3
1021,2017,11,1,10,3,689.4,25.5,1.3,0,0.1,0,0,0,0,0,0,2219,1595710
5001,2041,62,2,47,3,2239.4,2,1.5,0,0.3,0,0.2,0,0,0.1,0,477.8,1367080
2240,2014,52,3,47,5,4.6,0,0,0,0,0,0,0,0,0,0,0.2,2052.8
2158,2018,52,9,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,2057,51,3,47,3,3.5,0.1,0,0,0,0,0,0,0,0,0,0.4,2067.5
1069,2059,54,1,46,1,3.3,0.4,0,0,0,0,0,0,0,0,0,0,0
4003,2042,52,9,41,3,0,0,0,0,0,0,0,0,0,0,0,431.1,1911570
4007,2022,32,5,30,4,14,0.1,0,0,0,0,0,0,0,0,0,12.5,38251.5
5005,2009,54,2,41,3,4.6,0,0,0,0,0,0,0,0,0,0,5,4454.7
2195,2044,53,1,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,2027,32,1,30,2,131.1,0.9,0,0,0,0,0,0,0,0,0,402,378115
5007,2033,32,2,30,4,61,0.3,0,0,0,0,0,0,0,0,0,79.8,196336
4015,2029,41,9,42,5,0,0,0,0,0,0,0,0,0,0,0,2.2,63199.9
1103,2017,54,2,42,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0
4007,2024,52,1,42,3,727.6,4.9,0.2,0,0,0,0,0,0,0,0,270.3,712976
5015,2053,43,9,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,2013,11,1,10,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
1127,2036,42,9,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4013,2053,21,2,20,2,34,0.9,0,0,0,0,0,0,0,0,0,400.3,102657
2195,2016,51,2,47,4,30.8,0,0.1,0,0,0,0,0,0,0,0,1.2,17237.5
1069,2019,61,3,47,2,57.1,0.8,0,0,0,0,0,0,0,0,0,5.2,32129.3
1119,2010,53,2,41,4,356,0.7,1.6,0,0.1,0.1,0,0,0.1,0,0,8.5,347684
1037,2016,21,1,20,2,1983.7,26.4,2.2,0,0.2,0,0,0,0,0,0,2233.3,5781680
5011,2001,32,2,30,2,11.3,0.6,0.1,0,0,0,0,0,0,0,0,15,21795.2
1043,2016,51,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,2016,31,5,30,5,52.6,0.3,0,0,0,0,0,0,0,0,0,19.9,103905
1113,2026,54,1,41,1,0.9,0.2,0,0,0,0,0,0,0,0,0,0,0
1095,2013,51,1,47,4,0.1,0,0,0,0,0,0,0,0,0,0,0,33.4
2110,2013,51,1,46,4,0.3,0,0,0,0,0,0,0,0,0,0,0.3,219.8
2016,2035,42,2,46,3,1,0,0,0,0,0,0,0,0,0,0,0.2,660.7
5019,2018,21,9,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,2017,53,1,42,1,60.3,0.8,0,0,0,0,0,0,0,0,0,0,0
4011,2012,31,1,41,4,140.2,3.5,0.6,0,0.1,0,0,0,0,0,0,175.1,246424
